Memory	When	Capacity
Tile1_Processor0_localMemory	0.000000000000	0.000000000000
TileLocalMemory_Tile1	0.000000000000	1000000.000000000000
TileLocalMemory_Tile1	0.011861572266	3000000.000000000000
TileLocalMemory_Tile1	0.013723144531	1000000.000000000000
TileLocalMemory_Tile1	0.015584716797	0.000000000000
TileLocalMemory_Tile1	0.025584716797	1000000.000000000000
TileLocalMemory_Tile1	0.027446289063	2000000.000000000000
TileLocalMemory_Tile1	0.029307861328	1000000.000000000000
TileLocalMemory_Tile1	0.041169433594	3000000.000000000000
TileLocalMemory_Tile1	0.043031005859	1000000.000000000000
TileLocalMemory_Tile1	0.054892578125	2000000.000000000000
TileLocalMemory_Tile1	0.056754150391	1000000.000000000000
TileLocalMemory_Tile1	0.068615722656	2000000.000000000000
TileLocalMemory_Tile1	0.070477294922	0.000000000000
TileLocalMemory_Tile1	0.078615722656	1000000.000000000000
TileLocalMemory_Tile1	0.082338867188	2000000.000000000000
TileLocalMemory_Tile1	0.084200439453	2000000.000000000000
TileLocalMemory_Tile1	0.086062011719	0.000000000000
TileLocalMemory_Tile1	0.097923583984	2000000.000000000000
TileLocalMemory_Tile1	0.099785156250	1000000.000000000000
TileLocalMemory_Tile1	0.111646728516	3000000.000000000000
TileLocalMemory_Tile1	0.113508300781	1000000.000000000000
TileLocalMemory_Tile1	0.125369873047	2000000.000000000000
TileLocalMemory_Tile1	0.127231445312	1000000.000000000000
TileLocalMemory_Tile1	0.139093017578	2000000.000000000000
TileLocalMemory_Tile1	0.140954589844	0.000000000000
TileLocalMemory_Tile1	0.149093017578	1000000.000000000000
TileLocalMemory_Tile1	0.152816162109	2000000.000000000000
TileLocalMemory_Tile1	0.154677734375	2000000.000000000000
TileLocalMemory_Tile1	0.156539306641	0.000000000000
TileLocalMemory_Tile1	0.168400878906	2000000.000000000000
TileLocalMemory_Tile1	0.170262451172	1000000.000000000000
TileLocalMemory_Tile1	0.182124023438	3000000.000000000000
TileLocalMemory_Tile1	0.183985595703	1000000.000000000000
TileLocalMemory_Tile1	0.195847167969	2000000.000000000000
TileLocalMemory_Tile1	0.197708740234	1000000.000000000000
