Memory	When	Capacity
Tile1_Processor0_localMemory	0.0	0.0
Tile1_Processor1_localMemory	0.0	0.0
TileLocalMemory_Tile1	0.0	0.0
TileLocalMemory_Tile1	11861.572265625	1000000.0
TileLocalMemory_Tile1	13723.14453125	0.0
TileLocalMemory_Tile1	37818.603515625	1000000.0
TileLocalMemory_Tile1	39680.17578125	0.0
TileLocalMemory_Tile1	63775.634765625	1000000.0
TileLocalMemory_Tile1	65637.20703125	0.0
TileLocalMemory_Tile1	89732.666015625	1000000.0
TileLocalMemory_Tile1	91594.23828125	0.0
TileLocalMemory_Tile1	115689.697265625	1000000.0
TileLocalMemory_Tile1	117551.26953125	0.0
TileLocalMemory_Tile1	141646.728515625	1000000.0
TileLocalMemory_Tile1	143508.30078125	0.0
TileLocalMemory_Tile1	167603.759765625	1000000.0
TileLocalMemory_Tile1	169465.33203125	0.0
TileLocalMemory_Tile1	193560.791015625	1000000.0
TileLocalMemory_Tile1	195422.36328125	0.0
TileLocalMemory_Tile1	219517.822265625	1000000.0
TileLocalMemory_Tile1	221379.39453125	0.0
TileLocalMemory_Tile1	245474.853515625	1000000.0
TileLocalMemory_Tile1	247336.42578125	0.0
Tile2_Processor0_localMemory	0.0	0.0
Tile2_Processor0_localMemory	38190.91796875	0.0
Tile2_Processor0_localMemory	64147.94921875	0.0
Tile2_Processor0_localMemory	90104.98046875	0.0
Tile2_Processor0_localMemory	116062.01171875	0.0
Tile2_Processor0_localMemory	142019.04296875	0.0
Tile2_Processor0_localMemory	167976.07421875	0.0
Tile2_Processor0_localMemory	193933.10546875	0.0
Tile2_Processor0_localMemory	219890.13671875	0.0
Tile2_Processor0_localMemory	245847.16796875	0.0
Tile2_Processor0_localMemory	271804.19921875	0.0
Tile2_Processor1_localMemory	0.0	0.0
Tile2_Processor1_localMemory	38190.91796875	1000000.0
Tile2_Processor1_localMemory	40052.490234375	0.0
Tile2_Processor1_localMemory	64147.94921875	1000000.0
Tile2_Processor1_localMemory	66009.521484375	0.0
Tile2_Processor1_localMemory	90104.98046875	1000000.0
Tile2_Processor1_localMemory	91966.552734375	0.0
Tile2_Processor1_localMemory	116062.01171875	1000000.0
Tile2_Processor1_localMemory	117923.583984375	0.0
Tile2_Processor1_localMemory	142019.04296875	1000000.0
Tile2_Processor1_localMemory	143880.615234375	0.0
Tile2_Processor1_localMemory	167976.07421875	1000000.0
Tile2_Processor1_localMemory	169837.646484375	0.0
Tile2_Processor1_localMemory	193933.10546875	1000000.0
Tile2_Processor1_localMemory	195794.677734375	0.0
Tile2_Processor1_localMemory	219890.13671875	1000000.0
Tile2_Processor1_localMemory	221751.708984375	0.0
Tile2_Processor1_localMemory	245847.16796875	1000000.0
Tile2_Processor1_localMemory	247708.740234375	0.0
Tile2_Processor1_localMemory	271804.19921875	1000000.0
Tile2_Processor1_localMemory	273665.771484375	0.0
TileLocalMemory_Tile2	0.0	0.0
GLOBAL_MEMORY	0.0	0.0
GLOBAL_MEMORY	25957.03125	2000000.0
GLOBAL_MEMORY	28190.91796875	0.0
GLOBAL_MEMORY	51914.0625	2000000.0
GLOBAL_MEMORY	54147.94921875	0.0
GLOBAL_MEMORY	77871.09375	2000000.0
GLOBAL_MEMORY	80104.98046875	0.0
GLOBAL_MEMORY	103828.125	2000000.0
GLOBAL_MEMORY	106062.01171875	0.0
GLOBAL_MEMORY	129785.15625	2000000.0
GLOBAL_MEMORY	132019.04296875	0.0
GLOBAL_MEMORY	155742.1875	2000000.0
GLOBAL_MEMORY	157976.07421875	0.0
GLOBAL_MEMORY	181699.21875	2000000.0
GLOBAL_MEMORY	183933.10546875	0.0
GLOBAL_MEMORY	207656.25	2000000.0
GLOBAL_MEMORY	209890.13671875	0.0
GLOBAL_MEMORY	233613.28125	2000000.0
GLOBAL_MEMORY	235847.16796875	0.0
GLOBAL_MEMORY	259570.3125	2000000.0
GLOBAL_MEMORY	261804.19921875	0.0
