Memory	When	Capacity
MemoryRelocation_Processor0_localMemory	0.000000000000	0.000000000000
MemoryRelocation_Processor0_localMemory	0.037446289063	0.000000000000
MemoryRelocation_Processor0_localMemory	0.061169433594	0.000000000000
MemoryRelocation_Processor0_localMemory	0.086754150391	0.000000000000
MemoryRelocation_Processor0_localMemory	0.112338867187	0.000000000000
MemoryRelocation_Processor0_localMemory	0.137923583984	0.000000000000
MemoryRelocation_Processor0_localMemory	0.163508300781	0.000000000000
MemoryRelocation_Processor0_localMemory	0.189093017578	0.000000000000
MemoryRelocation_Processor0_localMemory	0.214677734375	0.000000000000
MemoryRelocation_Processor0_localMemory	0.240262451172	0.000000000000
MemoryRelocation_Processor0_localMemory	0.265847167969	0.000000000000
MemoryRelocation_Processor0_localMemory	0.291431884766	0.000000000000
MemoryRelocation_Processor1_localMemory	0.000000000000	0.000000000000
MemoryRelocation_Processor1_localMemory	0.025584716797	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.027446289063	0.000000000000
MemoryRelocation_Processor1_localMemory	0.037446289063	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.039307861328	0.000000000000
MemoryRelocation_Processor1_localMemory	0.049307861328	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.051169433594	0.000000000000
MemoryRelocation_Processor1_localMemory	0.063031005859	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.064892578125	0.000000000000
MemoryRelocation_Processor1_localMemory	0.074892578125	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.076754150391	0.000000000000
MemoryRelocation_Processor1_localMemory	0.088615722656	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.090477294922	0.000000000000
MemoryRelocation_Processor1_localMemory	0.100477294922	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.102338867187	0.000000000000
MemoryRelocation_Processor1_localMemory	0.114200439453	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.116062011719	0.000000000000
MemoryRelocation_Processor1_localMemory	0.126062011719	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.127923583984	0.000000000000
MemoryRelocation_Processor1_localMemory	0.139785156250	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.141646728516	0.000000000000
MemoryRelocation_Processor1_localMemory	0.151646728516	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.153508300781	0.000000000000
MemoryRelocation_Processor1_localMemory	0.165369873047	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.167231445313	0.000000000000
MemoryRelocation_Processor1_localMemory	0.177231445313	1000000.000000000000
